0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,6,6,49
2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,7,7,49
2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,8,8,-1
2,1,0,0,2,2,0,1,2,3,0,2,2,4,0,3,2,5,0,4,2,6,0,5,6,6,55
2,2,0,1,2,3,0,2,2,4,0,3,2,5,0,4,2,6,0,5,2,7,0,6,7,7,-1
2,1,0,0,2,2,0,1,2,3,0,2,2,4,0,3,2,5,0,4,2,6,0,5,6,6,55
2,2,0,1,2,3,0,2,2,4,0,3,2,5,0,4,2,6,0,5,2,7,0,6,7,7,56
2,3,0,2,2,4,0,3,2,5,0,4,2,6,0,5,2,7,0,6,2,8,0,7,8,8,-1
2,7,0,6,2,7,0,6,2,7,0,6,2,7,0,6,2,7,0,6,2,7,0,6,6,6,55
2,7,0,6,2,7,0,6,2,7,0,6,2,7,0,6,2,7,0,6,2,7,0,6,7,7,-1
2,8,0,7,2,6,0,5,2,7,0,6,2,5,0,4,2,3,0,2,2,0,0,9,6,6,57
2,6,0,5,2,7,0,6,2,5,0,4,2,3,0,2,2,0,0,9,2,9,0,8,7,7,-1
0,0,2,1,0,1,3,5,0,6,2,5,0,17,1,3,0,19,1,4,0,24,1,5,6,6,117
0,1,3,5,0,6,2,5,0,17,1,3,0,19,1,4,0,24,1,5,0,20,1,6,7,7,-1
0,0,2,1,0,2,3,3,0,2,3,3,0,4,1,2,0,18,2,2,0,18,2,2,6,6,49
0,2,3,3,0,2,3,3,0,4,1,2,0,18,2,2,0,18,2,2,2,1,0,0,7,1,52
0,2,3,3,0,4,1,2,0,18,2,2,0,18,2,2,2,1,0,0,2,4,0,3,8,2,-1
0,0,2,1,0,12,3,7,0,0,2,1,0,19,1,4,0,4,1,2,0,20,1,6,6,6,114
0,12,3,7,0,0,2,1,0,19,1,4,0,4,1,2,0,20,1,6,0,17,1,3,7,7,-1
0,0,2,1,0,13,3,6,0,19,1,4,0,7,2,6,0,14,1,8,0,13,3,6,6,6,121
